name,isin,url
Amundi MSCI China A ETF Acc GBP,FR0011720911,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P00014JJT/FR0011720911
Amundi MSCI Digital Economy ETF Acc GBP,LU2023678878,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001T7PC/LU2023678878
Amundi MSCI Disruptive Tech ETF Acc GBP,LU2023678282,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001T7PF/LU2023678282
Amundi MSCI Em Ex China ESG Sel ETF DR C GBP,LU2345046655,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001NQZO/LU2345046655
Amundi MSCI Emerging Mkt Ex China ETFAcc GBP,LU2009202107,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001U5KX/LU2009202107
Amundi MSCI EmMktsSRIClmtPrsAlgdETFDRC GBP,LU1861138961,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001IINP/LU1861138961
Amundi MSCI EmMktSRIClmtPrsAlgdETFDR£D,LU2469335371,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001PA98/LU2469335371
Amundi MSCI EMU ESG Sel ETF DR EUR C GBP,LU1602144575,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001CQ4R/LU1602144575
Amundi MSCI EurSRIClmtPrsAlgdETF DRC GBP,LU1861137484,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001IINO/LU1861137484
Amundi MSCI EurSRIClmtPrsAlgdETF DRD GBP,LU2059756598,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001L81M/LU2059756598
Fidelity US Equity Rsh Enh ETF USD Acc GBP,IE00BKSBGS44,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001K1SA/IE00BKSBGS44
Fidelity US Fundamental Lrg Cp Cr ETFAcc GBP,IE000IY9QFN9,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001XGTA/IE000IY9QFN9
Fidelity US Fundamental Sm-Mid Cp ETFAcc GBP,IE000PNL0242,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001XGTB/IE000PNL0242
Fidelity US Quality Income ETF Acc GBP,IE00BYXVGY31,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001A1Z0/IE00BYXVGY31
Fidelity US Quality Income ETF GBP H Acc,IE00BYV03C98,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001AMSM/IE00BYV03C98
Fidelity US Quality Income ETF Inc GBP,IE00BYXVGX24,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001A1YZ/IE00BYXVGX24
Fidelity US Value Rsrch Enh ETF USD Acc GBP,IE000MKIH0W7,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001UB4G/IE000MKIH0W7
Fidelity USD Corp Bd Rsh Enh PABETF£Hacc,IE000X3MDCC5,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001RDG8/IE000X3MDCC5
Fidelity USD Corp Bd Rsh Enh PAB ETF Inc GBP,IE000JJQ6248,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001RZWU/IE000JJQ6248
Fidelity USD HY Corp BdRshEnhPABETF£HAcc,IE000IKCYI88,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001RDGB/IE000IKCYI88
Global X E-commerce ETF USD Acc GBP,IE00BMH5XY61,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001NTTL/IE00BMH5XY61
Global X FinTech ETF USD Inc GBP,IE00BLCHK052,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001NTUI/IE00BLCHK052
Global X Genomics & Biotech ETF USD Acc GBP,IE00BM8R0N95,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001NPWG/IE00BM8R0N95
Global X Internet of Things ETF USD Acc GBP,IE00BLCHJT74,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001NTTO/IE00BLCHJT74
Global X Lithium & Battery TechETFUSDAcc GBP,IE00BLCHJN13,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001O5JI/IE00BLCHJN13
Global X Rbtc & Artfcl Intlgc ETF USDInc GBP,IE00BLCHJC08,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001NTUG/IE00BLCHJC08
Global X Silver Miners ETF USD Acc GBP,IE000UL6CLP7,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001P0RC/IE000UL6CLP7
Global X Telemedicine & Dgtl Hlth ETF D GBP,IE00BLR6QC17,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001LDQF/IE00BLR6QC17
Global X U.S. Infras Devpmt ETF USD Dis GBP,IE00BLCHJ641,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001NPX8/IE00BLCHJ641
Global X Uranium ETF USD Acc GBP,IE000NDWFGA5,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001OWB7/IE000NDWFGA5
HSBC MSCI USA Clmt Paris Aligned ETF USD GBP,IE00BP2C1S34,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001N12J/IE00BP2C1S34
HSBC MSCI USA Islamic Scrn ETF USD Acc GBP,IE000I5NV504,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001PZJU/IE000I5NV504
HSBC MSCI USA QUALITY UCITS ETF GBP,IE00B5WFQ436,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000OORD/IE00B5WFQ436
HSBC MSCI World Clmt Paris Algnd ETF USD GBP,IE00BP2C1V62,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001MURH/IE00BP2C1V62
HSBC MSCI World Islamic Scrn ETF USD Acc GBP,IE000X9FTI22,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001Q6GE/IE000X9FTI22
HSBC MSCI World Sm Cap Scrn ETF USD Acc GBP,IE000C692SN6,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001PUON/IE000C692SN6
HSBC MSCI World ETF GBP,IE00B4X9L533,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000RYLW/IE00B4X9L533
HSBC MSCI World Value Scrn ETF USD Acc GBP,IE000LYBU7X5,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001PV9T/IE000LYBU7X5
HSBC Multi Factor Worldwide Eq ETF GBP,IE00BKZGB098,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P00013M0A/IE00BKZGB098
HSBC NASDAQ Global Semiconductor ETF USD GBP,IE000YDZG487,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001OB4Q/IE000YDZG487
Invesco US Trs Bd 1-3 Yr ETF GBP H Dis,IE00BF2FNL98,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HYT9/IE00BF2FNL98
Invesco US Trs Bd 1-3 Yr ETF USD Dis GBP,IE00BF2FNG46,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001FGCV/IE00BF2FNG46
Invesco US Trs Bd 3-7 Yr ETF GBP Hdg Dis,IE00BF2GC043,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001H3L0/IE00BF2GC043
Invesco US Trs Bd 3-7 Yr ETF USD Dis GBP,IE00BF2FNQ44,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001FGCW/IE00BF2FNQ44
Invesco US Trs Bd 7-10 Yr ETF GBP H Dis,IE00BF2FNB90,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001FGCT/IE00BF2FNB90
Invesco US Trs Bd 7-10 Yr ETF USD Dis GBP,IE00BF2FN646,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001FGCX/IE00BF2FN646
Invesco US Treasury Bond ETF GBP H Dis,IE00BF2GFM70,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HYTA/IE00BF2GFM70
Invesco USD IG Corp Bd ESG ClmtTrtnETF£H,IE00BJ06C481,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001ITXE/IE00BJ06C481
iShares $CorpBd 0-3y ESG SRI ETF £ H Dis,IE00BK7Y2S64,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HWPI/IE00BK7Y2S64
iShares $ Corp Bd ESG SRI ETF GBP HdgInc,IE00BMWPV702,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001MR3F/IE00BMWPV702
iShares Core € Govt Bond ETF EUR Dist GBP,IE00B4WXJJ64,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000JTU0/IE00B4WXJJ64
iShares Dev Mkts Prpty Yld ETF USD Dist GBP,IE00B1FZS350,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000GGYS/IE00B1FZS350
iShares Digital Security ETF USD Dist GBP,IE00BG0J4841,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001LT3D/IE00BG0J4841
iShares Digitalisation ETF USD Acc GBP,IE00BYZK4883,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P00018NKW/IE00BYZK4883
iShares Diversified Commodity Swap ETF GBP,IE00BDFL4P12,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001BDGK/IE00BDFL4P12
iShares Dow Jones Glb Ldrs Scrn ETF $Acc GBP,IE00B57X3V84,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000SLO4/IE00B57X3V84
iShares Edge MSCI EM Mini Vol ETF $ Acc GBP,IE00B8KGV557,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000XOIE/IE00B8KGV557
iShares Edge MSCI Eurp Mini Vol ETF €Acc GBP,IE00B86MWN23,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000XOKU/IE00B86MWN23
iShares Edge MSCI Eurp Mom Fctr ETF €Acc GBP,IE00BQN1K786,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001597F/IE00BQN1K786
