name,isin,url
Amundi MSCI Japan ESGBrdTrnstnETF£DIST,LU2668197069,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001RPN5/LU2668197069
Amundi MSCI Millennials ETF Acc GBP,LU2023678449,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001T7PD/LU2023678449
Amundi MSCIPacExJpnSRIClmtPrsAlgdETFDR£D,LU2469335298,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001PA96/LU2469335298
Amundi MSCIPacExJpnSRIClmtPrsAlgdETFDR$C GBP,LU1602145036,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001CQ4P/LU1602145036
Amundi MSCI UK IMI SRIClmtPrsAlgdETFDR£C GBP,LU1437025296,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P00019LKT/LU1437025296
Amundi MSCI Water UCITS ETF Dist GBP,FR0010527275,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000XFDE/FR0010527275
Amundi S&P Eurozone ClmtPrsAlgdETFAcc GBP,LU2195226068,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001LLDA/LU2195226068
Amundi UK Equity All Cap ETF,LU1781541096,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001CXZ5/LU1781541096
Amundi UK Govt Bd 0-5Y ETF Dist,LU1439943090,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P00018I29/LU1439943090
Amundi UK Govt Infl Lnkd Bd ETF Dist,LU1407893301,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P00019130/LU1407893301
Franklin FTSE Brazil UCITS ETF GBP,IE00BHZRQY00,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HPYI/IE00BHZRQY00
Franklin FTSE China UCITS ETF GBP,IE00BHZRR147,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HPYJ/IE00BHZRR147
Franklin FTSE India UCITS ETF GBP,IE00BHZRQZ17,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HXIJ/IE00BHZRQZ17
Franklin FTSE Korea UCITS ETF GBP,IE00BHZRR030,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HPYK/IE00BHZRR030
Franklin Global Quality Div UCITS ETF GBP,IE00BF2B0M76,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001BKXU/IE00BF2B0M76
Franklin MSCI China Prs AlgndClmtETF$Acc GBP,IE000EBPC0Z7,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001P9T3/IE000EBPC0Z7
Franklin Sst € Green Bd ETF EUR Acc GBP,IE00BHZRR253,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HEHJ/IE00BHZRR253
Franklin U.S. Equity ETF GBP,IE00BF2B0P08,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001BKXT/IE00BF2B0P08
Franklin US Mega Cap 100 ETF USD Acc GBP,IE0008M1R3N4,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001V9EZ/IE0008M1R3N4
Franklin USD Invmt Grd CorpBdETF GBP,IE00BFWXDX52,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001DW2R/IE00BFWXDX52
HSBC S&P 500 ETF GBP,IE00B5KQNG97,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000OMQC/IE00B5KQNG97
HSBC UK Screened Equity ETF,IE00BKY53D40,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001J2RS/IE00BKY53D40
HSBC USA Screened Equity ETF GBP,IE00BKY40J65,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001J2RZ/IE00BKY40J65
Invesco CoinShares Global Blockchain ETF GBP,IE00BGBN6P67,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001H205/IE00BGBN6P67
Invesco EQQQ NASDAQ-100 ETF GBP,IE0032077012,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000I2AG/IE0032077012
Invesco EQQQ NASDAQ-100 ETF (GBP Hdg),IE00BYVTMW98,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001BTOE/IE00BYVTMW98
