name,isin,url
Fidelity Global Equity Rsh Enh ETFUSDAcc GBP,IE00BKSBGV72,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001K1SB/IE00BKSBGV72
Fidelity Glb Govt Bd Clmt Awr ETFAccGBPH,IE000QVCP9S5,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001PQUE/IE000QVCP9S5
Fidelity Glb Govt Bd Clmt Awr ETF Inc GBP,IE000IF0HTJ9,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001QNTP/IE000IF0HTJ9
Fidelity Glbl HY CorpBdRshEnhPABETFAcc£H,IE000C17QP01,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001PQUC/IE000C17QP01
Fidelity Glbl HY Corp Bd RshEnhPABETFInc GBP,IE0006OIQXE9,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001Q1JS/IE0006OIQXE9
Fidelity Global Qual Inc ETF Inc GBP,IE00BYXVGZ48,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001A1YY/IE00BYXVGZ48
Fidelity Global Qual Inc ETF GBP H Inc,IE00BYV1YF22,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001AMSK/IE00BYV1YF22
Fidelity Global Value Rsh Enh ETF USDAcc GBP,IE0002XFS025,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001UB4E/IE0002XFS025
Fidelity Japan Equity Rsh Enh ETF JPYAcc GBP,IE00BNGFMX61,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001KVTC/IE00BNGFMX61
Fidelity Pac ex-Japan Eq RshEnhETFUSDAcc GBP,IE00BNGFMY78,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001KVTD/IE00BNGFMY78
GS USD IG Corp Bd Act ETF USD Dist GBP,IE000RRCJI06,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001UM02/IE000RRCJI06
Goshawk Global Balanced UCITS ETF GBP,IE00BL643144,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001KW1I/IE00BL643144
Guinness Sustainable Energy UCITS ETF GBP,IE00BNC1F287,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001LB5T/IE00BNC1F287
HAN-GINS Tech Megatrend Equal Wgt ETFAcc GBP,IE00BDDRF700,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001ESIN/IE00BDDRF700
Future of Defence ETF Acc GBP,IE000OJ5TQP4,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001RI0B/IE000OJ5TQP4
Future of European Defence Scrn ETF Acc GBP,IE000I7E6HL0,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001V19B/IE000I7E6HL0
HANetf II Performance Trust TR Bd ETF GBP,IE000X5OD4M3,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001U4QU/IE000X5OD4M3
HANetf INQQ India Internet ETF Acc GBP,IE000WYTQSF9,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001RWNL/IE000WYTQSF9
HSBC Asia Pac Ex Jpn Scrn Eq ETF GBP,IE00BKY58G26,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001J2S3/IE00BKY58G26
HSBC Blmbrg Glb ESG Aggt 1-3 Y BdETF$Acc GBP,IE000XGNMWE1,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001OAC4/IE000XGNMWE1
Invesco RAFI Europe Fundamental Val ETF GBP,IE00B23D8X81,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000I2A4/IE00B23D8X81
Invesco RAFI US Fundamental Value ETF GBP,IE00B23D8S39,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000I2AL/IE00B23D8S39
Invesco S&P 500 Equal Weight ETF Acc GBP,IE00BNGJJT35,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001M2KE/IE00BNGJJT35
Invesco S&P 500 High Div LowVol ETF GBP,IE00BWTN6Y99,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P000160T2/IE00BWTN6Y99
Invesco S&P 500 QVM ETF GBP,IE00BDZCKK11,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001AKE4/IE00BDZCKK11
Invesco Solar Energy ETF GBP,IE00BM8QRZ79,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001N2CU/IE00BM8QRZ79
Invesco UK Gilt 1-5 Year ETF GBP Inc,IE00BG0TQ445,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001H4UU/IE00BG0TQ445
Invesco UK Gilts ETF GBP Acc,IE00BG0TQD32,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HQRP/IE00BG0TQD32
Invesco UK Gilts ETF GBP Inc,IE00BG0TQC25,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001H4UT/IE00BG0TQC25
Invesco US Trs Bd 0-1 Yr ETF GBP H Dis,IE00BKWD3F20,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001J6K8/IE00BKWD3F20
iShares Edge MSCI Wld Val Fctr ETF $Dist GBP,IE00BFYTYS33,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001CRZ7/IE00BFYTYS33
iShares EM Dividend ETF USD Dist GBP,IE00B652H904,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000VCLM/IE00B652H904
iShares Em Asia Lcl Govt Bd ETF USD Dist GBP,IE00B6QGFW01,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000VTV1/IE00B6QGFW01
iShares Euro Dividend ETF EUR Dist GBP,IE00B0M62S72,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000HYD3/IE00B0M62S72
iShares EURO STOXX Mid ETF EUR Dist GBP,IE00B02KXL92,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P00009QE5/IE00B02KXL92
iShares EURO STOXX Small ETF EUR Dist GBP,IE00B02KXM00,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000HYCS/IE00B02KXM00
iShares Euro Total Mkt Gr Lg ETF € Dist GBP,IE00B0M62V02,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000J0NO/IE00B0M62V02
iShares European Prpty Yld ETF EUR Dist GBP,IE00B0M63284,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000HYCW/IE00B0M63284
iShares Fallen Angels HY CorpBd ETF$Dist GBP,IE00BYM31M36,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001881R/IE00BYM31M36
iShares Fallen Angels HY CorpBdETF£HDist,IE00BDFK1680,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001D4HK/IE00BDFK1680
iShares MSCI Wld CTB Enh ESG ETF USD Acc GBP,IE00BHZPJ569,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001IT8D/IE00BHZPJ569
iShares MSCI Wld CTB Enh ESG ETF USDDist GBP,IE00BG11HV38,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001IT8C/IE00BG11HV38
iShares MSCI Wld Engy Sector ETF USD Inc GBP,IE00BJ5JP105,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001PBV3/IE00BJ5JP105
iShares MSCI World GBP Hedged ETF Acc,IE00B42YS929,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000Q622/IE00B42YS929
