name,isin,url
Amundi Global Corp Bd 1-5Y ESG ETF DRH£C,LU2382233182,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001NY2H/LU2382233182
Amundi MSCIJpnSRI ClmtPrsAlgdETFDRC GBP,LU2233156749,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001LPJW/LU2233156749
Amundi MSCIJpnSRIClmtPrsAlgdETFDRHdgGBPC,LU1646359619,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001Q1SU/LU1646359619
Amundi Prime Euro Government Bd ETF Dist GBP,LU1931975152,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HNU3/LU1931975152
Amundi IS Prime Europe ETF DR GBP,LU1931974262,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HNTY/LU1931974262
Amundi IS Prime Eurozone ETF DR GBP,LU1931974429,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HNTZ/LU1931974429
Amundi Prime Global Government BdETFDist GBP,LU1931975236,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HNU2/LU1931975236
Amundi IS Prime Japan ETF DR GBP,LU1931974775,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001HNU0/LU1931974775
Amundi USD Corporate Bond ESG ETF DR C GBP,LU1806495575,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001J7P1/LU1806495575
Amundi Japan Topix II ETF Dist EUR GBP,FR0010245514,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000XFD9/FR0010245514
First Trust Indxx NextG UCITS ETF A Acc GBP,IE00BWTNM743,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P00016BWU/IE00BWTNM743
FirstTrustNasdaqClnEdgeSmrtGrdInfrasETFA GBP,IE000J80JTL1,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001OWJ6/IE000J80JTL1
First Trust Nasdaq Cybscty ETF A USD Acc GBP,IE00BF16M727,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001K14K/IE00BF16M727
Fst Tr Nasdaq®ClnEg®GrnEyUCITS ETF A Acc GBP,IE00BDBRT036,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001LMLU/IE00BDBRT036
First Trust SMID Rsng Div Achv ETF A$Acc GBP,IE0001R850E1,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0001SQNF/IE0001R850E1
First Trust UK AlphaDEX® A GBP,IE00B8X9NZ57,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000YJX1/IE00B8X9NZ57
First Trust UK AlphaDEX® B GBP,IE00BD9N0445,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P00017UNL/IE00BD9N0445
First Trust US Equity Income ETF A GBP,IE00BZBW4Z27,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P00018V9X/IE00BZBW4Z27
First Trust US Equity Opp ETF A Acc GBP,IE00BYTH6238,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P00016KRL/IE00BYTH6238
First Trust US Lg Cp Cor AlphaDEX® A USD GBP,IE00B8X9NW27,https://www.direct.aviva.co.uk/wealth/ExchangeTradedFundSearch/ExchangeTradedFundDetails/0P0000YLCG/IE00B8X9NW27
